x,y,vx,vy,rho,e,P
0.6375,0.11103,-1.50626e-06,1.40871e-05,12.8005,1.795,15.3179
0.6625,0.11103,-1.58642e-06,1.41453e-05,12.8005,1.795,15.318
0.6875,0.11103,-1.60913e-06,1.41957e-05,12.8005,1.795,15.318
0.7125,0.11103,-1.61032e-06,1.4204e-05,12.8005,1.795,15.318
0.7375,0.11103,-1.62087e-06,1.4194e-05,12.8005,1.795,15.318
0.7625,0.11103,-1.63987e-06,1.41607e-05,12.8005,1.795,15.318
0.7875,0.11103,-1.62814e-06,1.40578e-05,12.8005,1.795,15.318
0.8125,0.11103,-1.3435e-06,1.38353e-05,12.8005,1.795,15.318
0.8375,0.11103,1.26871e-07,1.38028e-05,12.8005,1.795,15.318
0.8625,0.11103,1.7253e-06,1.62876e-05,12.8006,1.795,15.318
0.8875,0.11103,-1.60168e-05,2.56921e-05,12.8007,1.795,15.3182
0.912499,0.11103,-5.62519e-05,2.14375e-05,12.7996,1.795,15.3168
0.937505,0.111028,0.00019912,-7.64124e-05,12.795,1.79499,15.3113
0.962527,0.111027,0.00104941,-7.04091e-05,12.7841,1.79499,15.2981
0.987586,0.111052,0.00549133,0.00154706,13.0891,1.79553,15.6679
1.0109,0.111426,-0.0731998,0.0228828,11.3732,1.79385,13.6012
0.00167769,0.133468,0.0783497,0.011693,12.4593,1.79368,14.8987
0.0246333,0.133129,-0.0221515,-0.00573585,14.6286,1.79575,17.5129
0.0500689,0.133252,0.00450656,0.00113088,12.5261,1.79499,14.9895
0.0749715,0.133232,-0.00163353,-0.000152847,12.8741,1.79501,15.4061
0.1,0.133235,0.000100251,3.62292e-05,12.7754,1.79499,15.2878
0.125,0.133235,-7.07742e-06,1.84773e-05,12.7958,1.795,15.3123
0.15,0.133235,1.42171e-05,2.2016e-05,12.793,1.795,15.309
0.175,0.133235,-1.37181e-06,2.25434e-05,12.7933,1.795,15.3094
0.2,0.133235,-3.97609e-07,2.3484e-05,12.7933,1.795,15.3093
0.225,0.133235,4.61017e-07,2.37573e-05,12.7933,1.795,15.3093
0.25,0.133235,4.70963e-07,2.37092e-05,12.7933,1.795,15.3093
0.275,0.133235,3.41778e-07,2.36262e-05,12.7933,1.795,15.3093
0.3,0.133235,3.07166e-07,2.35743e-05,12.7933,1.795,15.3093
0.325,0.133235,5.02259e-07,2.39045e-05,12.7933,1.795,15.3093
0.35,0.133235,5.93063e-07,2.45375e-05,12.7934,1.795,15.3094
0.375,0.133235,1.09905e-06,2.56166e-05,12.7935,1.795,15.3096
