x,vx,rho,e,P
0.948,1.33877e-14,0.62776,0.5,0.125552
0.951,-1.89811e-15,0.62776,0.5,0.125552
0.954,-3.68505e-15,0.62776,0.5,0.125552
0.957,-2.33917e-14,0.62776,0.5,0.125552
0.96,-2.81798e-14,0.62776,0.5,0.125552
0.963,3.40713e-14,0.62776,0.5,0.125552
0.966,1.30633e-14,0.62776,0.5,0.125552
0.969,6.49695e-15,0.62776,0.5,0.125552
0.972,3.0238e-15,0.62776,0.5,0.125552
0.975,-1.86221e-14,0.62776,0.5,0.125552
0.978,-7.95519e-15,0.62776,0.5,0.125552
0.981,2.78369e-14,0.62776,0.5,0.125552
0.984,9.15468e-15,0.62776,0.5,0.125552
0.987,1.93179e-15,0.62776,0.5,0.125552
0.99,-4.02234e-15,0.62776,0.5,0.125552
0.993,3.15429e-14,0.62776,0.5,0.125552
0.996,8.26317e-15,0.62776,0.5,0.125552
0.999,-1.12704e-14,0.62776,0.5,0.125552
1.002,-3.17411e-14,0.62776,0.5,0.125552
1.005,-1.70859e-14,0.62776,0.5,0.125552
1.008,-3.29588e-15,0.62776,0.5,0.125552
1.011,4.45148e-15,0.62776,0.5,0.125552
1.014,3.14971e-14,0.62776,0.5,0.125552
1.017,-2.70221e-15,0.62776,0.5,0.125552
1.02,-9.48834e-15,0.62776,0.5,0.125552
1.023,-3.02787e-14,0.62776,0.5,0.125552
1.026,-3.45583e-14,0.62776,0.5,0.125552
1.029,4.31402e-14,0.62776,0.5,0.125552
1.032,6.10837e-15,0.62776,0.5,0.125552
1.035,3.34547e-16,0.62776,0.5,0.125552
1.038,-4.27895e-15,0.62776,0.5,0.125552
1.041,2.14455e-14,0.62776,0.5,0.125552
1.044,6.65157e-15,0.62776,0.5,0.125552
1.047,-6.96406e-15,0.62776,0.5,0.125552
1.05,-2.28027e-14,0.62776,0.5,0.125552
1.053,-2.81566e-14,0.62776,0.5,0.125552
1.056,2.54829e-14,0.62776,0.5,0.125552
1.059,3.55178e-14,0.62776,0.5,0.125552
1.062,-5.12183e-17,0.62776,0.5,0.125552
1.065,-1.41556e-14,0.62776,0.5,0.125552
1.068,-2.5366e-14,0.62776,0.5,0.125552
1.071,-1.43032e-13,0.62776,0.5,0.125552
1.074,-5.41937e-13,0.62776,0.5,0.125552
1.077,-1.5238e-12,0.62776,0.5,0.125552
1.08,-4.4966e-12,0.62776,0.5,0.125552
1.083,-1.3696e-11,0.62776,0.5,0.125552
1.086,-4.18746e-11,0.62776,0.5,0.125552
1.089,-1.2833e-10,0.62776,0.5,0.125552
1.092,-3.92344e-10,0.62776,0.5,0.125552
1.095,-1.18772e-09,0.62776,0.5,0.125552
1.098,-3.5496e-09,0.62776,0.5,0.125552
1.101,-1.04715e-08,0.62776,0.5,0.125552
1.104,-3.04773e-08,0.62776,0.5,0.125552
1.107,-8.7251e-08,0.62776,0.5,0.125552
1.11,-2.4474e-07,0.62776,0.5,0.125552
1.113,-6.70996e-07,0.62776,0.5,0.125552
1.116,-1.79537e-06,0.627761,0.500001,0.125552
1.119,-4.68099e-06,0.627764,0.500002,0.125553
1.122,-1.18488e-05,0.62777,0.500004,0.125555
1.125,-2.89794e-05,0.627785,0.50001,0.12556
1.128,-6.8224e-05,0.62782,0.500024,0.12557
1.131,-0.000154091,0.627899,0.500055,0.125594
1.134,-0.00033231,0.628068,0.500117,0.125643
1.137,-0.000679774,0.628407,0.500238,0.125741
1.13999,-0.00130119,0.629037,0.500452,0.125921
1.14298,-0.00229702,0.630081,0.500796,0.126217
1.14597,-0.00372479,0.63163,0.501287,0.126651
1.14895,-0.00540103,0.633692,0.50189,0.127217
1.15191,-0.00708605,0.635879,0.502346,0.127772
1.15487,-0.00716671,0.636539,0.502008,0.127819
1.15784,-0.00141566,0.629425,0.499229,0.125691
1.16088,0.0145629,0.60942,0.492657,0.120094
1.16405,0.0456827,0.578402,0.482648,0.111666
1.16741,0.077148,0.539978,0.46978,0.101468
1.17106,0.117852,0.502269,0.45634,0.0916823
1.17492,0.155631,0.464157,0.441748,0.0820164
1.17921,0.199901,0.425005,0.426037,0.0724274
1.18381,0.247065,0.386213,0.409923,0.0633273
1.18903,0.300175,0.344956,0.390809,0.0539249
1.19479,0.360318,0.305667,0.37401,0.0457291
1.20146,0.42899,0.266416,0.342161,0.0364629
1.20925,0.508922,0.224299,0.295063,0.026473
1.21891,0.611131,0.162927,0.23147,0.0150851
1.23565,0.78296,0.0908963,0.265289,0.00964555
1.26556,1.21292,0.0408995,0.283118,0.00463177
