x,vx,rho,e,P
0.619641,0.676768,0.54875,1.95757,0.429688
0.623067,0.676373,0.548698,1.95932,0.430029
0.626508,0.676022,0.549106,1.96082,0.430679
0.629924,0.675873,0.548825,1.95504,0.429189
0.633374,0.675663,0.549366,1.96867,0.432607
0.636775,0.675843,0.549075,1.94611,0.427424
0.640245,0.675679,0.549194,1.97414,0.433675
0.643633,0.675428,0.542819,1.92203,0.417325
0.647205,0.67532,0.533187,2.10514,0.448974
0.650727,0.675548,0.513419,1.88392,0.386896
0.654551,0.675273,0.476446,2.40256,0.457875
0.658647,0.675331,0.455938,2.39311,0.436443
0.662771,0.675093,0.452947,2.38361,0.431859
0.666937,0.674506,0.453643,2.36809,0.429708
0.671074,0.674416,0.455012,2.3654,0.430513
0.675214,0.674815,0.455736,2.36045,0.430296
0.67934,0.67397,0.456015,2.3583,0.430167
0.683473,0.673449,0.456408,2.35603,0.430124
0.687595,0.674921,0.457114,2.355,0.430602
0.691715,0.673624,0.456425,2.35117,0.429252
0.695853,0.667145,0.454108,2.34204,0.425415
0.700034,0.655724,0.447486,2.31884,0.41506
0.704328,0.616069,0.424836,2.26,0.384052
0.708991,0.505325,0.378425,2.15016,0.325469
0.714405,0.326479,0.322841,2.01251,0.259889
0.720732,0.156084,0.281304,1.89816,0.213585
0.72774,0.0568503,0.260788,1.83438,0.191354
0.735075,0.0178466,0.253732,1.80808,0.183507
0.742524,0.0056515,0.251897,1.79909,0.181274
0.750008,0.00190332,0.251396,1.7963,0.180633
0.757502,0.00061747,0.251202,1.79542,0.180405
0.765001,0.000179891,0.25113,1.79513,0.180324
0.7725,5.07726e-05,0.25111,1.79504,0.180301
0.78,1.57228e-05,0.251106,1.79501,0.180295
0.7875,5.03094e-06,0.251105,1.795,0.180294
0.795,1.4285e-06,0.251104,1.795,0.180293
0.8025,3.62728e-07,0.251104,1.795,0.180293
0.81,1.02438e-07,0.251104,1.795,0.180293
0.8175,3.41756e-08,0.251104,1.795,0.180293
0.825,1.03285e-08,0.251104,1.795,0.180293
0.8325,2.48224e-09,0.251104,1.795,0.180293
0.84,6.21683e-10,0.251104,1.795,0.180293
0.8475,2.30289e-10,0.251104,1.795,0.180293
0.855,8.48061e-11,0.251104,1.795,0.180293
0.8625,2.24966e-11,0.251104,1.795,0.180293
