x,y,z,vx,vy,vz,rho,e,P
0.599981,-0.0858439,-0.171433,-0.000257958,-0.00107669,-0.00014709,98.5287,1.795,70.7437
-0.576018,-0.0571393,-0.171501,-0.000282792,0.000638068,-0.000602475,9.96252,2.5,9.96253
-0.552003,-0.0571668,-0.171432,-4.22176e-05,0.000295393,-0.000683076,3.57894,2.5,3.57894
-0.528092,-0.0572503,-0.17142,-0.00149431,-0.00076635,0.000150527,0.279825,2.5,0.279825
-0.503991,-0.0571383,-0.171466,-0.000147646,0.000222572,-0.000802106,1.45648,2.5,1.45648
-0.480135,-0.057237,-0.171516,-3.34656e-05,-0.000807263,-0.000952888,35.2263,2.5,35.2263
-0.455813,-0.0571431,-0.171447,0.0012956,-0.000399606,-0.000428921,6.00343,2.5,6.00344
-0.432002,-0.0571529,-0.171467,-3.04292e-05,-0.00124358,-0.000639809,44.1274,2.5,44.1274
-0.408068,-0.0573228,-0.171558,-0.000658081,-0.00117098,-0.00201478,3.71859,2.5,3.71859
-0.383942,-0.0572224,-0.171594,0.000529246,-0.00129857,-0.00176094,73.6878,2.5,73.6877
-0.360007,-0.057183,-0.171553,-0.000102477,-0.0015119,-0.00155916,393.862,2.5,393.862
-0.336007,-0.0572636,-0.171427,-8.75474e-05,-0.00133031,-0.000446295,145.638,2.5,145.638
-0.312004,-0.0571962,-0.17147,-4.55841e-05,-0.0014127,-0.000240299,354.71,2.5,354.711
-0.288276,-0.0571077,-0.1715,-0.00232132,1.08173e-05,-0.00133641,68.608,2.5,68.608
-0.263867,-0.0571433,-0.171534,0.000749106,-0.00097919,-0.0010904,0.585557,2.5,0.585557
-0.239914,-0.0571695,-0.171624,-0.000117769,-0.000584371,-0.00303789,0.438391,2.5,0.438391
-0.215989,-0.0571388,-0.171563,0.000761767,-0.000318615,-0.00196505,9.29437,2.5,9.29438
-0.191986,-0.0571142,-0.171472,0.000460512,0.000405458,-0.000291504,17.5003,2.5,17.5003
-0.168004,-0.0571564,-0.17145,-5.45742e-05,-0.000437459,-0.000350306,7.80394,2.5,7.80394
-0.144022,-0.0571641,-0.171382,-0.000290082,-0.000417938,0.000618283,4.65037,2.5,4.65037
-0.119988,-0.057175,-0.17139,0.000137259,-0.000497798,0.000293145,8.07205,2.5,8.07205
-0.0960088,-0.0571779,-0.17155,-0.00011525,-0.000297634,-0.00315553,28.1284,2.5,28.1284
-0.0720031,-0.0572094,-0.17141,-3.39483e-05,-0.000919987,0.00111994,4.75732,2.5,4.75732
-0.0480044,-0.057181,-0.171443,-8.758e-05,-0.000781543,-0.000153868,11.8886,2.5,11.8886
-0.02445,-0.0571906,-0.171433,-0.0040386,-0.000975168,-0.000523704,100.321,2.49999,100.32
0.000433289,-0.0571299,-0.171436,0.00382355,0.000256637,3.46977e-05,297.62,1.79499,213.69
0.119988,-0.0571228,-0.171536,-0.000162816,0.000814843,-0.00133809,3.476,1.795,2.49577
0.239982,-0.0573612,-0.171422,-0.000220011,-0.00295315,0.000466744,55.3451,1.795,39.7378
0.359982,-0.0573103,-0.171472,-0.00023864,-0.00263313,-0.00119499,3.98253,1.795,2.85946
0.479983,-0.0573146,-0.171469,-0.000204483,-0.00210395,-0.000858888,0.439321,1.795,0.315432
0.599984,-0.0573114,-0.171473,-0.000242747,-0.00186427,-0.000612947,26.3183,1.795,18.8965
-0.576007,-0.0285884,-0.171581,-0.000118501,-0.000781585,-0.00245346,0.38449,2.5,0.38449
-0.552059,-0.0286171,-0.171556,-0.00170004,-0.000592214,-0.00147865,12.5354,2.5,12.5354
-0.5281,-0.0285288,-0.171491,-0.000598009,1.39846e-05,-0.000639604,6.48053,2.5,6.48054
-0.503858,-0.0285188,-0.171547,0.00206414,0.000430607,-0.00147811,109.377,2.5,109.377
-0.480012,-0.0285452,-0.171794,-0.000143797,3.64955e-05,-0.00351524,109.467,2.5,109.467
-0.456003,-0.0285234,-0.171413,-3.49356e-05,0.000463727,-0.000225252,42.1778,2.5,42.1778
-0.432018,-0.0285735,-0.171498,-0.000294347,-0.000131197,-0.00140731,11.3126,2.5,11.3126
-0.407989,-0.0286037,-0.171425,0.000184962,-0.000713481,0.000560841,2.76719,2.5,2.76719
-0.384007,-0.0285286,-0.171486,-0.000145017,0.000254517,-0.00114989,8.16597,2.5,8.16597
-0.360061,-0.0285298,-0.171521,-0.00146616,0.00201274,-0.00176384,245.668,2.5,245.668
-0.335953,-0.0286019,-0.171397,0.00128223,-0.000283024,0.000516169,326.086,2.5,326.086
-0.312149,-0.0285473,-0.171571,-0.00180139,0.000222735,-0.00157864,125.494,2.5,125.494
-0.287998,-0.0286594,-0.171771,0.000248355,-0.00527273,-0.00310231,1.18615,2.5,1.18615
-0.263868,-0.0286476,-0.171438,0.00132932,-0.000948133,-0.000452112,0.611374,2.5,0.611374
-0.240007,-0.0285907,-0.171589,-0.000100165,-0.000626292,-0.00216747,1.03643,2.5,1.03642
-0.216049,-0.0285504,-0.171579,-0.00151065,-0.00038701,-0.00197648,21.2031,2.5,21.2031
-0.191963,-0.0286496,-0.171499,0.00133661,-0.00166344,-0.0007885,32.503,2.5,32.503
-0.168008,-0.0285988,-0.171387,-0.000138571,-0.000726836,0.000525665,76.4773,2.5,76.4773
-0.144006,-0.0286018,-0.17145,-8.19858e-05,-0.000647312,0.000197218,2.59003,2.5,2.59003
-0.120005,-0.0285816,-0.171527,-0.000108933,-0.00083257,-0.00077689,4.03924,2.5,4.03924
-0.0961019,-0.0286234,-0.171496,-0.000888397,-0.00112153,-0.000578166,4.59424,2.5,4.59424
-0.0719148,-0.0285873,-0.171426,0.00069903,-0.000707739,0.000377614,1.47832,2.5,1.47832
-0.0480047,-0.0285479,-0.171481,-5.82074e-05,-2.10338e-05,-0.000916424,1.34328,2.5,1.34328
-0.0240048,-0.0285545,-0.171431,-7.25569e-05,0.000216743,-0.000959299,1.10741,2.5,1.10741
-7.37914e-06,-0.0285717,-0.171448,-0.00011246,-2.87708e-06,-1.44741e-05,59.9484,1.795,43.043
0.119989,-0.0287255,-0.171607,-0.000131728,-0.00204269,-0.00262422,5.27974,1.795,3.79086
0.239979,-0.0285802,-0.171492,-0.000262298,-0.000792617,-0.000793878,21.9003,1.795,15.7244
0.359985,-0.0285086,-0.171452,-0.000191545,0.00051646,-0.000170757,38.2996,1.795,27.4991
0.479985,-0.0284849,-0.171477,-0.000164553,0.00112762,-0.000655255,0.502053,1.795,0.360474
0.599986,-0.0284877,-0.171477,-0.000161879,0.000921385,-0.000691449,2.94093,1.795,2.11158
-0.576035,-3.25878e-05,-0.171556,-0.000938082,-0.000642502,-0.0016709,11.118,2.5,11.1181
-0.552163,-2.01206e-05,-0.171513,-0.000624892,-0.00090323,-0.000797522,39.5009,2.5,39.5009
-0.527818,-2.84101e-05,-0.17151,0.00133849,-0.00141533,-0.00115541,66.1203,2.5,66.1203
-0.504006,-4.15461e-05,-0.171578,-9.48654e-05,-0.000709349,-0.00117956,48.7268,2.5,48.7268
-0.480005,-2.99872e-06,-0.171445,-8.65469e-05,-0.000290789,-0.000336183,0.47131,2.5,0.47131
-0.456006,-2.56145e-05,-0.171415,-9.92295e-05,-0.000585743,-6.02169e-06,76.1053,2.5,76.1053
-0.432072,-0.000141476,-0.171485,-0.000661541,-0.00163494,-0.00121667,131.812,2.5,131.812
-0.407944,-8.30334e-05,-0.171429,0.00042853,-0.000781586,-0.000149589,271.731,2.5,271.731
-0.384003,-5.60711e-05,-0.171365,-5.20512e-05,-0.000620847,0.000754113,191.995,2.5,191.995
-0.360006,1.83778e-05,-0.171493,-8.93631e-05,0.000195543,-0.000659122,310.618,2.5,310.618
-0.336058,2.9721e-05,-0.171506,-0.000500836,5.51673e-05,-0.000809494,77.4587,2.5,77.4586
-0.311951,-3.74361e-05,-0.171319,0.000374079,-0.000675228,0.00102754,34.2344,2.5,34.2344
-0.288007,-6.23549e-05,-0.171443,-0.000104919,-0.00182096,-0.000396168,0.949547,2.5,0.949546
-0.264007,-3.58247e-05,-0.171483,-0.000102095,6.68121e-05,-0.00170168,13.8269,2.5,13.8269
-0.240023,7.35277e-06,-0.171447,-0.000384526,-2.87859e-05,5.86927e-06,1.06759,2.5,1.06759
-0.216029,-6.71562e-05,-0.171532,-0.000153527,-0.00121994,-0.00133867,3.99284,2.5,3.99284
-0.191969,-8.4506e-05,-0.171571,0.000218244,-0.000477293,-0.00155752,1.66214,2.5,1.66214
-0.168141,-5.26057e-05,-0.17175,-0.00296668,-0.000749598,-0.00259299,3.10704,2.5,3.10703
-0.14387,-3.34046e-05,-0.171419,0.0027902,-0.000886769,-0.000130464,15.8719,2.5,15.8718
-0.120005,-2.2113e-05,-0.171422,-6.72334e-05,-0.000360127,8.4195e-05,5.18815,2.5,5.18815
-0.0960801,-3.07129e-05,-0.171549,-0.00297544,-0.00053788,-0.0015531,4.986,2.5,4.986
-0.0719342,-4.40725e-06,-0.171462,0.00271689,0.00088178,-0.000842733,0.732785,2.5,0.732784
-0.0480079,-2.90579e-05,-0.171389,-0.000105852,-0.000534726,0.000442924,0.775156,2.5,0.775156
-0.0240323,-1.59146e-05,-0.171474,-0.000305345,-0.000524594,-0.000417933,63.4366,2.5,63.4366
1.85504e-05,-2.78183e-05,-0.171498,0.000156721,-0.00100344,-0.000401497,72.985,1.795,52.4032
0.119979,-0.000638145,-0.171942,-0.000233448,-0.006783,-0.00502758,15.1561,1.79499,10.882
0.23998,-0.000105432,-0.171622,-0.000245543,-0.00116042,-0.0048586,17.8324,1.795,12.8037
0.359985,-0.000131141,-0.171484,-0.000166328,-0.00120418,-0.00131054,34.5047,1.795,24.7744
0.479984,-0.000188199,-0.17148,-0.000208617,-0.00241086,-0.000987722,20.3965,1.795,14.6447
0.599984,-0.000138172,-0.171501,-0.000168745,-0.00174878,-0.00177522,1.63037,1.795,1.17061
-0.576189,0.0285024,-0.171757,-0.00164292,-0.00252434,-0.00427158,28.7751,2.5,28.7751
-0.551826,0.0285729,-0.171403,0.00142359,-0.000797656,7.30627e-07,115.798,2.5,115.798
-0.528006,0.0285746,-0.171538,-9.30689e-05,-0.00032839,-0.00114414,34.0891,2.5,34.0891
-0.504082,0.0285308,-0.1715,-0.00149339,-0.00112197,-0.000678934,175.696,2.5,175.696
-0.479931,0.0285469,-0.171447,0.00128923,-0.000330934,-0.000157284,101.942,2.5,101.942
-0.456003,0.0284992,-0.171483,-4.2254e-05,-0.000877146,-0.000924556,62.8169,2.5,62.8169
-0.432008,0.0283392,-0.171556,-0.000109268,-0.00188876,-0.00239066,329.593,2.5,329.593
-0.408004,0.0285484,-0.17156,-9.56527e-05,-0.000541657,-0.0012707,74.1186,2.5,74.1186
-0.384208,0.0285408,-0.171539,-0.0018774,-0.000514258,-0.00231635,129.171,2.5,129.171
