x,vx,rho,e,P
0.701391,0.665663,1,1.97587,1
0.70475,0.665652,1,1.97542,1
0.70811,0.665657,1,1.97631,1
0.711466,0.665626,1,1.97344,1
0.714828,0.665676,1,1.97875,1
0.718176,0.665521,1,1.96531,1
0.721551,0.665944,1,1.97037,1
0.724887,0.665696,1,1.95091,1
0.728608,0.665848,1,2.26067,1
0.732722,0.664866,0.2,2.10149,0.1795
0.735925,0.665687,0.2,2.41859,0.1795
0.740184,0.666121,0.2,2.39637,0.1795
0.744076,0.665862,0.2,2.37718,0.1795
0.748352,0.665594,0.2,2.35775,0.1795
0.752399,0.665536,0.2,2.35407,0.1795
0.756558,0.665568,0.2,2.35126,0.1795
0.760628,0.66558,0.2,2.34888,0.1795
0.764745,0.665579,0.2,2.34727,0.1795
0.768828,0.665572,0.2,2.3457,0.1795
0.772929,0.665565,0.2,2.3448,0.1795
0.777016,0.665559,0.2,2.34385,0.1795
0.781109,0.665553,0.2,2.34324,0.1795
0.785196,0.665547,0.2,2.34263,0.1795
0.789285,0.665541,0.2,2.34219,0.1795
0.793372,0.665535,0.2,2.34178,0.1795
0.797459,0.665528,0.2,2.34146,0.1795
0.801544,0.665522,0.2,2.34117,0.1795
0.80563,0.665515,0.2,2.34093,0.1795
0.809715,0.665507,0.2,2.34072,0.1795
0.8138,0.665499,0.2,2.34054,0.1795
0.817885,0.66549,0.2,2.34038,0.1795
0.82197,0.665479,0.2,2.34025,0.1795
0.826054,0.665467,0.2,2.34013,0.1795
0.830138,0.665453,0.2,2.34002,0.1795
0.834222,0.665437,0.2,2.33992,0.1795
0.838306,0.66542,0.2,2.33984,0.1795
0.84239,0.665405,0.2,2.33976,0.1795
0.846474,0.665381,0.2,2.33966,0.1795
0.850557,0.665319,0.2,2.33954,0.1795
0.854642,0.665196,0.2,2.33933,0.1795
0.858727,0.664945,0.2,2.33899,0.1795
0.862813,0.664409,0.2,2.3385,0.1795
0.866903,0.663914,0.2,2.33808,0.1795
0.870992,0.664659,0.2,2.33746,0.1795
0.875077,0.665051,0.2,2.33377,0.1795
