x,y,vx,vy,rho,e,P
0.0840017,0.0620898,1.91698e-05,9.72782e-05,33.8042,2.5,33.8042
0.0960001,0.0620866,7.52011e-07,8.09019e-05,71.3905,2.5,71.3905
0.107999,0.0620893,-7.26096e-06,0.000100079,3.98922,2.5,3.98922
0.12,0.061991,-3.57796e-07,-0.000700746,4.56764,2.5,4.56764
0.131991,0.0620899,-4.45593e-05,0.000105005,1.32206,2.5,1.32206
0.143998,0.0620898,-1.10159e-05,9.63885e-05,306.58,2.5,306.58
0.156,0.0621722,-2.66306e-06,0.000712735,306.583,2.5,306.583
0.168,0.0621368,-3.30928e-06,0.00159709,104.207,2.5,104.206
0.18,0.062092,-2.14013e-06,0.000469129,103.468,2.5,103.468
0.192,0.0620904,-3.23267e-06,0.00010973,99.6367,2.5,99.6367
0.203992,0.0620792,-5.76495e-05,-0.000256583,0.286096,2.5,0.286096
0.215999,0.0621083,-8.49616e-06,0.000640163,175.112,2.5,175.112
0.228,0.0620902,3.5537e-06,0.000109129,1680.97,2.5,1680.97
0.240001,0.0621142,4.33246e-06,0.000107288,220.134,2.5,220.134
0.252,0.0620897,5.90252e-06,9.6481e-05,2.58063,2.5,2.58063
0.264,0.06209,-4.69019e-06,0.000107511,0.783689,2.5,0.783689
0.275993,0.06209,-6.29772e-05,0.000101994,2.49596,2.5,2.49596
0.288007,0.06209,7.09392e-05,9.59494e-05,184.742,2.5,184.742
0.299993,0.0621106,-6.81232e-05,0.000696655,259.717,2.5,259.717
0.312007,0.0620901,6.24386e-05,9.85083e-05,1759.79,2.5,1759.79
0.324,0.062042,5.20624e-06,-0.000498643,199.524,2.5,199.523
0.335997,0.0620896,-6.49879e-05,0.000101567,24.6615,2.5,24.6615
0.348001,0.0621402,3.93763e-05,0.000765157,15.1765,2.5,15.1765
0.359998,0.0620903,-2.22861e-05,0.000207209,12.0862,2.5,12.0862
0.372001,0.0620903,2.75577e-06,0.000112304,15.7463,2.5,15.7463
0.384008,0.0620907,5.97405e-05,0.000107294,32.5246,2.5,32.5246
0.396,0.0620902,5.85846e-07,0.000104252,1358.26,2.5,1358.26
0.408,0.0621279,4.55828e-06,0.00039225,1601.5,2.5,1601.5
0.419999,0.06209,-8.50448e-06,0.000106222,81.456,2.5,81.456
0.431999,0.0620899,-7.18965e-06,0.000107232,0.742156,2.5,0.742156
0.444001,0.0621626,-3.7608e-06,0.0006941,4.51075,2.5,4.51075
0.456011,0.0622002,7.27286e-05,0.00149179,8.61392,2.5,8.61392
0.468,0.0620911,6.43542e-06,0.000115822,14.7286,2.5,14.7286
0.48,0.062049,-2.58375e-06,-0.000209069,73.5168,2.5,73.5168
0.491997,0.0620681,-5.92085e-05,-9.9453e-05,37.255,2.5,37.255
0.504003,0.0620892,6.07947e-05,9.09112e-05,108.771,2.5,108.771
0.516001,0.0620837,6.00139e-06,-0.000215217,366.274,2.5,366.274
0.527999,0.0620903,-8.60972e-06,9.78498e-05,108.46,2.5,108.46
0.54,0.0620542,2.38333e-06,-8.91836e-05,14.5675,2.5,14.5675
0.552,0.0619993,-1.30209e-06,-0.000385044,45.3766,2.5,45.3766
0.564,0.0620712,2.91204e-06,1.88161e-05,16.3124,2.5,16.3124
0.576,0.062068,4.67465e-06,-3.37938e-08,54.444,2.5,54.444
0.58798,0.0621411,-0.000117265,0.000322348,163.019,2.5,163.019
0.600021,0.0621741,0.000130444,0.000990935,45.4902,1.795,32.6619
0.66,0.0621852,0,0.000193693,4244.45,1.795,3047.52
0.72,0.0621852,0,0.000193693,4244.45,1.795,3047.52
0.78,0.0621852,0,0.000193693,4244.45,1.795,3047.52
0.84,0.0621852,0,0.000193693,4244.45,1.795,3047.52
0.9,0.0621852,0,0.000193693,4244.45,1.795,3047.52
0.96,0.0621852,0,0.000193693,4244.45,1.795,3047.52
1.02,0.0621852,0,0.000193693,4244.45,1.795,3047.52
1.08,0.0621852,0,0.000193693,4244.45,1.795,3047.52
1.14,0.0621852,0,0.000193693,4244.45,1.795,3047.52
1.2,0.0621852,0,0.000193693,4244.45,1.795,3047.52
0.0119991,0.0723728,-1.14315e-05,-0.000457617,0.563547,2.5,0.563547
0.0240049,0.0724555,2.12638e-05,0.000636815,3.74843,2.5,3.74843
0.0360002,0.0723527,7.23418e-06,-0.000100533,0.619949,2.5,0.619949
0.0480005,0.0724145,5.72849e-06,4.91888e-06,11.0457,2.5,11.0457
